 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
1 0 10 10 24 13 13 30 23 24 13 10 29 19 16 26 22 23 30 26 10 12 14 24 19 28 29 21 27 10 15 17 12 19 24 14 24 29 24 11 24 10 26 20 16 15 23 16 19 14 12 21 25 21 29 10 28 27 14 13 22 23 17 23 11 11 30 11 23 10 27 14 28 25 16 21 30 24 15 27 10 17 19 13 18 17 14 28 24 13 11 22 13 10 14 18 20 26 10 17 16 
2 10 0 24 14 11 12 17 21 25 29 15 11 29 25 18 28 18 10 20 26 13 15 28 22 30 19 14 13 22 15 11 19 17 18 25 14 28 24 26 20 10 24 14 27 19 13 20 29 23 30 21 18 27 29 27 19 14 11 19 24 22 23 30 23 15 29 21 11 30 19 25 17 18 27 10 21 11 24 23 17 20 30 25 26 26 21 13 11 24 16 30 20 27 22 20 13 26 14 11 11 
3 10 24 0 18 28 30 25 13 28 12 20 23 13 11 10 26 28 21 24 25 18 23 13 26 25 30 18 13 22 26 11 16 10 26 18 20 27 13 15 22 16 13 14 17 14 24 14 17 21 16 26 11 26 20 18 28 11 15 13 13 30 19 16 17 16 14 28 21 10 29 25 26 23 14 13 25 13 21 17 18 24 27 29 19 16 15 14 19 27 18 20 28 26 22 18 11 25 28 26 21 
4 24 14 18 0 19 24 28 19 15 22 14 16 23 28 20 23 18 22 17 28 27 30 28 10 14 28 25 22 13 17 17 30 18 21 11 22 15 20 22 22 13 17 24 11 30 25 12 30 19 29 20 24 28 21 19 11 15 15 17 14 15 25 29 23 19 27 26 25 18 18 30 24 22 10 16 14 18 13 30 11 13 16 16 23 19 24 21 12 28 30 19 13 27 14 27 23 18 23 20 29 
5 13 11 28 19 0 19 23 20 10 14 22 20 29 30 21 28 15 19 30 22 28 23 22 26 10 30 15 13 29 20 22 19 15 25 25 16 16 25 23 18 19 15 10 14 21 24 11 16 11 18 11 25 13 30 11 26 11 22 12 30 21 20 15 25 28 10 11 16 21 15 16 30 29 12 29 24 12 15 30 27 19 18 13 21 29 11 15 16 20 26 29 17 14 30 25 18 19 12 23 28 
6 13 12 30 24 19 0 11 23 12 19 27 16 26 12 20 23 18 13 16 13 23 10 26 15 25 26 13 26 19 23 11 26 13 21 27 23 24 14 29 23 23 20 23 15 28 12 10 24 22 19 19 27 19 24 25 21 10 12 24 22 24 20 15 13 16 28 23 23 29 21 30 12 19 21 11 28 12 29 16 29 16 27 22 14 10 12 20 23 14 13 19 11 29 22 19 13 26 28 16 21 
7 30 17 25 28 23 11 0 25 26 21 27 14 13 19 21 29 25 29 16 25 12 13 13 25 10 20 20 27 29 14 10 30 23 26 19 11 23 29 23 25 22 22 17 23 22 23 17 12 11 18 28 16 22 22 10 26 23 20 22 27 30 12 24 22 16 26 21 13 24 19 15 15 21 22 10 24 14 28 24 24 30 19 27 13 22 23 11 10 12 23 19 28 10 23 12 30 26 24 26 24 
8 23 21 13 19 20 23 25 0 24 25 26 14 26 21 15 23 13 21 23 13 28 10 28 21 18 27 28 26 11 17 30 20 15 16 13 27 26 20 28 21 21 20 17 24 10 22 10 12 11 25 18 25 14 25 11 28 24 14 16 18 19 29 14 11 30 20 29 26 10 15 20 12 24 13 19 11 12 25 11 15 24 24 12 26 24 23 28 26 13 13 10 26 23 14 26 27 30 30 28 23 
9 24 25 28 15 10 12 26 24 0 12 14 17 15 11 29 10 28 19 19 30 30 26 27 10 29 15 21 24 29 18 16 20 29 24 16 13 14 14 27 22 19 18 25 10 11 14 11 20 13 22 15 29 21 10 26 25 15 28 24 26 21 13 12 28 21 14 18 20 19 13 22 13 22 21 22 20 27 18 13 26 15 12 19 26 15 26 13 21 18 12 24 13 17 13 29 26 28 30 18 18 
10 13 29 12 22 14 19 21 25 12 0 18 25 28 22 26 11 10 17 17 21 16 21 18 25 12 30 26 16 23 12 29 25 29 11 29 24 22 25 13 17 20 29 19 28 29 12 21 29 20 22 26 16 22 15 12 18 19 18 14 20 30 17 25 19 18 18 27 29 18 15 24 26 16 13 11 19 21 30 14 15 27 24 30 29 15 26 24 30 12 15 22 19 30 24 21 17 14 29 11 24 
11 10 15 20 14 22 27 27 26 14 18 0 12 25 14 19 15 15 11 11 22 25 12 12 17 26 18 19 13 21 24 22 26 21 13 19 18 13 11 29 27 21 28 23 20 18 10 24 12 11 22 28 23 20 17 27 17 22 13 21 30 21 15 24 18 13 18 29 28 28 24 11 19 14 30 16 19 14 22 30 11 21 29 10 26 29 11 15 23 17 13 19 22 14 17 27 27 17 18 15 22 
12 29 11 23 16 20 16 14 14 17 25 12 0 23 10 28 17 22 10 12 26 28 26 15 13 21 12 30 27 13 13 23 27 23 11 28 17 28 27 14 21 25 25 12 11 26 14 17 26 28 23 28 15 27 12 26 11 28 29 17 14 18 17 30 19 27 15 30 28 26 23 22 10 14 18 12 29 25 16 15 12 29 15 18 19 25 17 16 11 30 12 28 12 26 28 18 27 29 11 14 29 
13 19 29 13 23 29 26 13 26 15 28 25 23 0 23 14 10 27 20 22 27 11 30 30 16 30 13 10 29 17 17 17 28 28 12 13 21 27 22 12 27 24 23 25 14 24 15 23 12 28 22 16 10 26 30 11 14 19 23 26 16 14 13 18 14 10 10 25 22 25 12 27 12 28 28 15 24 16 16 27 15 19 21 18 22 16 29 12 11 22 19 19 20 17 10 17 25 27 13 19 10 
